"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact.cypher"
"axon-conversion-5.1.2","com.fasterxml.jackson.databind.node",3,12,41,"ObjectNode,JsonNodeType",""
"axon-conversion-5.1.2","tools.jackson.core",3,6,41,"JacksonException",""
"axon-conversion-5.1.2","tools.jackson.databind.node",3,12,41,"ObjectNode,JsonNodeType",""
"axon-conversion-5.1.2","tools.jackson.databind.json",2,5,41,"JsonMapper$Builder,JsonMapper",""
"axon-conversion-5.1.2","com.fasterxml.jackson.core",1,1,41,"JsonProcessingException",""
"axon-conversion-5.1.2","org.apache.avro.io",1,3,41,"DecoderFactory",""
"axon-conversion-5.1.2","org.apache.commons.lang3.tuple",1,4,41,"Pair",""
"axon-eventsourcing-5.1.2","org.slf4j",16,41,130,"LoggerFactory,Logger",""
"axon-eventsourcing-5.1.2","jakarta.persistence",15,52,130,"EntityExistsException,TypedQuery,EntityManager,Id,Table,Lob,SequenceGenerator,GeneratedValue,Entity,GenerationType,Index,Basic,Column",""
"axon-eventsourcing-5.1.2","org.jspecify.annotations",11,11,130,"NullMarked",""
"axon-eventsourcing-5.1.2","IdTypeParameterResolver",1,1,130,"IdTypeParameterResolver",""
"axon-eventsourcing-5.1.2","ScannedEntityCreator",1,4,130,"ScannedEntityCreator",""
"axon-eventsourcing-5.1.2","WrappedEventCriteriaBuilderMethod",1,1,130,"WrappedEventCriteriaBuilderMethod",""
"axon-messaging-5.1.2","org.jspecify.annotations",57,57,633,"NullMarked",""
"axon-messaging-5.1.2","org.slf4j",54,203,633,"Logger,LoggerFactory",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation",19,33,633,"JsonTypeInfo$Id,JsonCreator,JsonProperty,JsonTypeInfo,JsonGetter,JsonIgnore",""
"axon-messaging-5.1.2","jakarta.persistence",19,115,633,"LockModeType,EntityManagerFactory,EntityManager,Basic,IdClass,Id,Entity,Lob,Column,EntityTransaction,Query,TypedQuery",""
"axon-messaging-5.1.2","reactor.core.publisher",13,43,633,"FluxSink,Flux,Mono,MonoSink",""
"axon-messaging-5.1.2","org.reactivestreams",7,26,633,"Subscription,Subscriber,Publisher",""
"axon-messaging-5.1.2","jakarta.validation",5,16,633,"ValidatorFactory,ConstraintViolation,Validator,Validation",""
"axon-messaging-5.1.2","reactor.util.concurrent",2,4,633,"Queues",""
"axon-metrics-micrometer-5.1.2","io.micrometer.core.instrument",37,140,19,"Tag,Tags,MeterRegistry,Clock,Gauge,Gauge$Builder,Timer$Builder,Timer,Counter",""
"axon-metrics-micrometer-5.1.2","org.jspecify.annotations",3,3,19,"NullMarked",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure",3,3,19,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.condition",3,4,19,"ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnClass",""
"axon-metrics-micrometer-5.1.2","io.micrometer.core.instrument.simple",2,4,19,"SimpleMeterRegistry",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.context.properties",2,2,19,"EnableConfigurationProperties,ConfigurationProperties",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.springboot.autoconfig",1,1,19,"AxonAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.context.annotation",1,2,19,"Bean",""
"axon-modelling-5.1.2","org.jspecify.annotations",7,7,99,"NullMarked",""
"axon-modelling-5.1.2","org.slf4j",4,17,99,"Logger,LoggerFactory",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc.event.dcb",36,132,79,"StreamEventsResponse,SequencedEvent,GetLastSnapshotRequest$Builder,AddSnapshotResponse,AddSnapshotRequest,AddSnapshotRequest$Builder,GetLastSnapshotResponse,Snapshot,GetLastSnapshotRequest,Snapshot$Builder,Tag,Event,Tag$Builder,TaggedEvent$Builder,Event$Builder,TaggedEvent,SourceEventsResponse,GetTailResponse,GetHeadResponse,GetSequenceAtResponse,Criterion$Builder,TagsAndNamesCriterion$Builder,ConsistencyCondition$Builder,TagsAndNamesCriterion,StreamEventsRequest$Builder,ConsistencyCondition,SourceEventsRequest$Builder,Criterion,StreamEventsRequest,SourceEventsRequest,AppendEventsResponse",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc",34,220,79,"ErrorMessage,SerializedObject,ProcessingInstruction$Builder,SerializedObject$Builder,ProcessingKey,MetaDataValue$DataCase,ErrorMessage$Builder,MetaDataValue,MetaDataValue$Builder,ProcessingInstruction",""
"axon-server-connector-5.1.2","io.grpc",26,60,79,"Status,Status$Code,StatusRuntimeException,ManagedChannelBuilder,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,Metadata$Key,Metadata$AsciiMarshaller,Metadata,ClientInterceptor,Channel,CallOptions,MethodDescriptor,ClientCall,ForwardingClientCall$SimpleForwardingClientCall",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector",23,128,79,"ResultStream,AxonServerConnection,AxonServerConnectionFactory,Registration,ReplyChannel,FlowControl,AxonServerConnectionFactory$Builder",""
"axon-server-connector-5.1.2","org.slf4j",19,70,79,"LoggerFactory,Logger",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc.query",14,98,79,"QueryResponse,SubscriptionQuery,QueryRequest,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate,QueryUpdate$Builder",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc.control",13,86,79,"UpdateType,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,TopologyChange,QuerySubscription,CommandSubscription,NodeInfo,NodeInfo$Builder",""
"axon-server-connector-5.1.2","org.jspecify.annotations",10,10,79,"NullMarked",""
"axon-server-connector-5.1.2","com.google.protobuf",9,39,79,"ByteString,MessageLite",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.event",9,40,79,"SnapshotChannel,AppendEventsTransaction,EventChannel,AggregateEventStream,DcbEventChannel,DcbEventChannel$AppendEventsTransaction,EventStream",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc.command",8,64,79,"CommandResponse$Builder,Command,Command$Builder,CommandResponse",""
"axon-server-connector-5.1.2","io.axoniq.framework.messaging.queryhandling.distributed",7,24,79,"QueryBusConnector$UpdateCallback,QueryBusConnector$Handler,QueryBusConnector,PayloadConvertingQueryBusConnector",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.query",6,19,79,"QueryHandler$UpdateHandler,QueryHandler,QueryChannel,QueryDefinition,SubscriptionQueryResult",""
"axon-server-connector-5.1.2","io.axoniq.framework.messaging.commandhandling.distributed",6,22,79,"CommandBusConnector$ResultCallback,CommandBusConnector$Handler,CommandBusConnector,PayloadConvertingCommandBusConnector",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.grpc.event",5,32,79,"ConfirmationWithConsistencyMarker,Event$Builder,Event,EventWithToken",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.control",4,5,79,"ControlChannel,ProcessorInstructionHandler",""
"axon-server-connector-5.1.2","io.grpc.stub",2,5,79,"ClientCallStreamObserver,ClientResponseObserver",""
"axon-server-connector-5.1.2","reactor.core.scheduler",2,2,79,"Scheduler,Schedulers",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.admin",1,3,79,"AdminChannel",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.command",1,3,79,"CommandChannel",""
"axon-server-connector-5.1.2","io.axoniq.axonserver.connector.impl",1,3,79,"ServerAddress",""
"axon-server-connector-5.1.2","io.grpc.netty.shaded.io.grpc.netty",1,1,79,"GrpcSslContexts",""
"axon-server-connector-5.1.2","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,79,"SslContextBuilder",""
"axon-server-connector-5.1.2","org.springframework.boot.context.properties",1,1,79,"ConfigurationProperties",""
"axon-test-5.1.2","org.hamcrest",44,196,79,"Description,Matcher,BaseMatcher,TypeSafeMatcher,StringDescription,CoreMatchers",""
"axon-test-5.1.2","org.junit.jupiter.api.extension",8,28,79,"ParameterResolutionException,BeforeEachCallback,ExtensionContext$Namespace,ExtensionContext$Store,AfterEachCallback,ParameterResolver,ExtensionContext,ParameterContext",""
"axon-test-5.1.2","org.jspecify.annotations",5,5,79,"NullMarked",""
"axon-test-5.1.2","org.slf4j",2,3,79,"Logger,LoggerFactory",""
"axon-test-5.1.2","org.awaitility",1,1,79,"Awaitility",""
"axon-test-5.1.2","org.awaitility.core",1,2,79,"ConditionFactory",""
"axon-tracing-opentelemetry-5.1.2","io.opentelemetry.api.trace",9,47,6,"Tracer,Span,SpanBuilder,SpanKind,SpanContext,StatusCode",""
"axon-tracing-opentelemetry-5.1.2","io.opentelemetry.context.propagation",9,16,6,"TextMapSetter,ContextPropagators,TextMapGetter,TextMapPropagator",""
"axon-tracing-opentelemetry-5.1.2","io.opentelemetry.context",2,7,6,"Context,Scope",""
"axon-tracing-opentelemetry-5.1.2","org.slf4j",2,7,6,"LoggerFactory,Logger",""
"axon-tracing-opentelemetry-5.1.2","io.opentelemetry.api",1,2,6,"GlobalOpenTelemetry",""
"axon-tracing-opentelemetry-5.1.2","org.jspecify.annotations",1,1,6,"NullMarked",""
"axon-update-5.1.2","org.slf4j",14,45,28,"Logger,LoggerFactory",""
"axon-update-5.1.2","org.jspecify.annotations",5,5,28,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition",15,23,26,"ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.actuate.health",7,24,26,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure",7,7,26,"AutoConfiguration,AutoConfigureBefore",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.context.properties",6,6,26,"ConfigurationProperties,EnableConfigurationProperties",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.context.annotation",6,12,26,"Bean",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.jspecify.annotations",5,5,26,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.eventhandling.deadletter",4,15,26,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.testcontainers.service.connection",4,9,26,"ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionSource,ContainerConnectionDetailsFactory",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",3,12,26,"DeadLetterSchema,JdbcSequencedDeadLetterQueue,JdbcSequencedDeadLetterQueue$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.service.connection",3,3,26,"ConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.deadletter",2,2,26,"SequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.eventhandling.deadletter.jpa",2,7,26,"JpaSequencedDeadLetterQueue,JpaSequencedDeadLetterQueue$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.postgresql",2,2,26,"PostgresqlConfigurationEnhancer,PostgresqlEventStorageEngine",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.testcontainer",2,6,26,"AxonServerContainer",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.slf4j",2,3,26,"Logger,LoggerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.docker.compose.core",2,5,26,"ConnectionPorts,RunningService",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.docker.compose.service.connection",2,5,26,"DockerComposeConnectionDetailsFactory,DockerComposeConnectionSource",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.context",2,4,26,"ApplicationContext,ApplicationContextAware",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.axonserver.connector",1,1,26,"AxonServerConnection",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.axonserver.connector.control",1,1,26,"ControlChannel",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.commandhandling.distributed",1,4,26,"DistributedCommandBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.messaging.queryhandling.distributed",1,4,26,"DistributedQueryBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","jakarta.persistence",1,3,26,"EntityManagerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.axonframework.extension.springboot.util",1,1,26,"RegisterDefaultEntities",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.beans",1,1,26,"BeansException",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.lang",1,1,26,"Nullable",""
