"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.15503875968992248,2.1705426356589146,0.6201550387596899,0.9819121447028424,0.8861203203866795,"react-router,context,server,utils",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333335,0.983192080250175,0.15503875968992248,0.46511627906976744,0.23255813953488372,0.2842377260981912,0.15243288065894187,"utils,profiler,prerender,flatRoutes",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,49,2,17,8,9.8,6.496152707564686,7,1,3,1,1.4,0.8944271909999159,0.15503875968992248,0.46511627906976744,0.15503875968992248,0.21705426356589144,0.13867088232556835,"useJavascript,remove-exports,route-chunks,styles",""
"fs",5,17,2,5,3,3.4,1.51657508881031,8,1,2,2,1.6,0.5477225575051662,0.15503875968992248,0.31007751937984496,0.31007751937984496,0.24806201550387597,0.08491822596979319,"utils,vite,plugin,config",""
"http",5,11,1,3,2,2.2,0.8366600265340756,9,1,2,2,1.8,0.4472135954999579,0.15503875968992248,0.31007751937984496,0.31007751937984496,0.27906976744186046,0.06933544116278417,"react-router-node,server,vite,plugin",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.15503875968992248,0.46511627906976744,0.15503875968992248,0.2325581395348837,0.15503875968992248,"routes,vite,plugin,config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15503875968992248,0.7751937984496124,0.6201550387596899,0.5167958656330749,0.32273891464591203,"react-router-cloudflare,worker,workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,3,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin,useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"remove-exports,styles,with-props",""
"lexer",3,4,1,2,1,1.3333333333333333,0.5773502691896258,5,1,2,2,1.6666666666666667,0.5773502691896258,0.15503875968992248,0.31007751937984496,0.31007751937984496,0.25839793281653745,0.08951166964180243,"vite,plugin,virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.15503875968992248,0.6201550387596899,0.31007751937984496,0.36175710594315247,0.23682561731037932,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"copy-template,vite,plugin",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"react-router-architect,arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"react-router-architect,arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"remove-exports,with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,0.31007751937984496,0.31007751937984496,0.31007751937984496,0.31007751937984496,0,"react-router-node,server",""
"@types/api-gateway-proxy",2,18,3,15,9,9,8.48528137423857,7,2,5,3.5,3.5,2.1213203435596424,0.31007751937984496,0.7751937984496124,0.5426356589147288,0.5426356589147288,0.3288868749704872,"react-router-architect,server",""
"@types/express",2,19,3,16,9.5,9.5,9.192388155425117,6,2,4,3,3,1.4142135623730951,0.31007751937984496,0.6201550387596899,0.46511627906976744,0.46511627906976744,0.21925791664699149,"react-router-express,server",""
"@types/express-serve-static-core",2,3,1,2,1.5,1.5,0.7071067811865476,5,2,3,2.5,2.5,0.7071067811865476,0.31007751937984496,0.46511627906976744,0.3875968992248062,0.3875968992248062,0.10962895832349571,"react-router-express,server",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"react-router-architect,server",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.31007751937984496,0.46511627906976744,0.3875968992248062,0.3875968992248062,0.10962895832349571,"react-router-express,server",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,0.46511627906976744,0.46511627906976744,0.46511627906976744,0.46511627906976744,0,"react-router-node,stream",""
"async_hooks",2,2,1,1,1,1,0,8,4,4,4,4,0,0.6201550387596899,0.6201550387596899,0.6201550387596899,0.6201550387596899,0,"react-router,server",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"cloudflare-dev-proxy,cloudflare",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"config,flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"rollup",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"vite,plugin",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prompts-select",""
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"run",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"commands",""
"inspector",1,3,3,3,3,3,0,3,3,3,3,3,0,0.46511627906976744,0.46511627906976744,0.46511627906976744,0.46511627906976744,0,"profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"config",""
"node:inspector",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"profiler",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prompts-prompt-base",""
"p-map",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"prerender",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,0.31007751937984496,0.31007751937984496,0.31007751937984496,0.31007751937984496,0,"vite-node",""
"types",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15503875968992248,0.15503875968992248,0.15503875968992248,0.15503875968992248,0,"utils",""
