"fullDependentTypeName","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Internal_Dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.extension.metrics.micrometer.MessageCountingMonitor",9,"buildMonitor",2,1,""
"org.axonframework.extension.metrics.micrometer.MessageTimerMonitor",9,"builder",1,1,""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",9,"supportedEvents,sequenceIdentifierFor,supports",3,1,""
"org.axonframework.messaging.eventhandling.SimpleEventHandlingComponent",9,"subscribe",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",9,"splitSegment,releaseSegment,mergeSegment",3,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",9,"unwrap,unwrapLowerBound",2,1,""
"org.axonframework.messaging.queryhandling.QueryBus",9,"subscriptionQuery,query",2,1,""
"org.axonframework.messaging.queryhandling.QueryBus",9,"emitUpdate,completeSubscriptions,completeSubscriptionsExceptionally,query",4,1,""
"org.axonframework.modelling.SimpleStateManager",9,"named",1,1,""
"org.axonframework.test.fixture.RecordingCommandBus",9,"reset,recordedCommands",2,1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector",8,"disconnect,start,shutdownDispatching",3,1,""
"org.axonframework.common.configuration.Configuration",8,"getComponent,getOptionalComponent",3,1,""
"org.axonframework.conversion.ChainingContentTypeConverter",8,"canConvert,registerConverter,convert",3,1,""
"org.axonframework.messaging.core.MessageStream$Entry",8,"message",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken",8,"withGapsTruncatedAt,getGaps",2,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken",8,"getGlobalIndex",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",8,"advance",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken",8,"get",1,1,""
"org.axonframework.modelling.HierarchicalStateManager",8,"create",1,1,""
"org.axonframework.modelling.repository.Repository$LifecycleManagement",8,"attach",1,1,""
"org.axonframework.test.fixture.RecordingCommandBus",8,"reset,dispatch",2,1,""
"org.axonframework.common.configuration.Configuration",7,"getOptionalComponent,getModuleConfiguration,getComponents",4,1,""
"org.axonframework.conversion.ChainingContentTypeConverter",7,"canConvert,registerConverter",2,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",7,"getTokenStoreIdentifier,processingStatus,maxCapacity",3,1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessor",7,"name",1,1,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder",7,"addConcreteType,entityEvolver",2,1,""
"org.axonframework.test.fixture.RecordingCommandBus",7,"dispatch",1,1,""
"org.axonframework.test.fixture.RecordingEventSink",7,"recorded",1,1,""
"org.axonframework.common.configuration.ComponentRegistry",6,"registerDecorator,registerComponent",3,1,""
"org.axonframework.common.configuration.Configuration",6,"getComponent,getOptionalComponent",3,1,""
"org.axonframework.common.lock.PessimisticLockFactory$DisposableLock",6,"queuedThreads,isHeldBy,lock",3,1,""
"org.axonframework.eventsourcing.configuration.EventSourcedEntityModule",6,"declarative",1,1,""
"org.axonframework.messaging.core.conversion.MessageConverter",6,"convertPayload",1,1,""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",6,"supportedEvents",1,1,""
"org.axonframework.messaging.queryhandling.QueryBus",6,"subscribeToUpdates",1,1,""
"org.axonframework.messaging.queryhandling.QueryBus",6,"subscriptionQuery",1,1,""
"org.axonframework.test.util.RecordingMessageMonitor",6,"onReportSuccess,onReportIgnored,onReportFailure",3,1,""
"org.axonframework.common.configuration.Component",5,"resolve",1,1,""
"org.axonframework.common.configuration.ComponentRegistry",5,"registerEnhancer,registerComponent",2,1,""
"org.axonframework.common.configuration.ComponentRegistry",5,"registerComponent",1,1,""
"org.axonframework.common.configuration.Configuration",5,"getComponent",2,1,""
"org.axonframework.messaging.core.annotation.InterceptorChainParameterResolverFactory",5,"currentInterceptorChain",1,1,""
"org.axonframework.messaging.core.unitofwork.transaction.TransactionManager",5,"fetchInTransaction",1,1,""
"org.axonframework.messaging.eventhandling.InterceptingEventBus",5,"publish",1,1,""
"org.axonframework.messaging.eventhandling.tracing.DefaultEventProcessorSpanFactory",5,"builder",1,1,""
"org.axonframework.messaging.monitoring.NoOpMessageMonitor",5,"instance",1,1,""
"org.axonframework.update.configuration.DefaultUsagePropertyProvider",5,"getUrl,getDisabled",2,1,""
"org.axonframework.conversion.Converter",4,"convert",1,1,""
"org.axonframework.eventsourcing.eventstore.AppendCondition",4,"consistencyMarker",1,1,""
"org.axonframework.messaging.core.annotation.PayloadParameterResolver",4,"supportedPayloadType",1,1,""
"org.axonframework.messaging.eventhandling.InterceptingEventSink",4,"publish",1,1,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule",4,"subscribing",1,1,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule",4,"pooledStreaming",1,1,""
"org.axonframework.modelling.repository.SimpleRepository$SimpleEntity",4,"mapToSimpleEntity",1,1,""
"org.axonframework.test.fixture.RecordingEventSink",4,"reset",1,1,""
