"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.event.dcb",28,104,72,"SequencedEvent,StreamEventsResponse,Tag,StreamEventsRequest$Builder,Criterion$Builder,ConsistencyCondition$Builder,StreamEventsRequest,Tag$Builder,TagsAndNamesCriterion$Builder,Criterion,TagsAndNamesCriterion,SourceEventsRequest,ConsistencyCondition,SourceEventsRequest$Builder,GetSequenceAtResponse,TaggedEvent,Event,GetHeadResponse,GetTailResponse,SourceEventsResponse,TaggedEvent$Builder,Event$Builder,AppendEventsResponse",""
"axon-server-connector-5.0.3","io.grpc",23,51,72,"ManagedChannelBuilder,Status,Metadata,Metadata$AsciiMarshaller,Metadata$Key,Status$Code,StatusRuntimeException,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ClientCall$Listener,ClientInterceptor,CallOptions,Channel,MethodDescriptor,ForwardingClientCallListener$SimpleForwardingClientCallListener",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector",22,123,72,"AxonServerConnectionFactory,AxonServerConnection,ResultStream,Registration,ReplyChannel,FlowControl,AxonServerConnectionFactory$Builder",""
"axon-server-connector-5.0.3","org.slf4j",19,70,72,"Logger,LoggerFactory",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.query",14,98,72,"QueryUpdate,QueryRequest,QueryResponse,QueryRequest$Builder,SubscriptionQuery,QueryResponse$Builder,QueryUpdate$Builder",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.control",13,86,72,"UpdateType,TopologyChange,CommandSubscription,QuerySubscription,NodeInfo$Builder,NodeInfo,EventProcessorInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder",""
"axon-server-connector-5.0.3","com.google.protobuf",8,29,72,"ByteString,MessageLite",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.event",8,38,72,"AggregateEventStream,EventChannel,AppendEventsTransaction,EventStream,DcbEventChannel$AppendEventsTransaction,DcbEventChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.command",8,63,72,"Command,CommandResponse,Command$Builder,CommandResponse$Builder",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.query",6,19,72,"QueryHandler$UpdateHandler,QueryHandler,QueryDefinition,SubscriptionQueryResult,QueryChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.event",5,31,72,"Event,Event$Builder,EventWithToken,Confirmation",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.control",4,5,72,"ControlChannel,ProcessorInstructionHandler",""
"axon-server-connector-5.0.3","io.grpc.stub",4,11,72,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"axon-server-connector-5.0.3","reactor.core.scheduler",2,2,72,"Scheduler,Schedulers",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.admin",1,3,72,"AdminChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.command",1,3,72,"CommandChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.impl",1,3,72,"ServerAddress",""
"axon-server-connector-5.0.3","io.grpc.netty.shaded.io.grpc.netty",1,1,72,"GrpcSslContexts",""
"axon-server-connector-5.0.3","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,72,"SslContextBuilder",""
"axon-server-connector-5.0.3","javax.annotation",1,1,72,"Nonnull",""
"axon-server-connector-5.0.3","org.springframework.boot.context.properties",1,2,72,"ConfigurationProperties",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure.condition",52,84,75,"ConditionalOnProperty,ConditionalOnClass,AnyNestedCondition,ConditionalOnMissingBean,ConditionOutcome,ConditionalOnBean,SearchStrategy,SpringBootCondition,ConditionalOnExpression,AllNestedConditions",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.context.annotation",40,74,75,"Conditional,Bean,ConfigurationCondition$ConfigurationPhase,Role,ImportBeanDefinitionRegistrar,Primary,Import,ConfigurationCondition,ConditionContext,Condition",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure",33,34,75,"AutoConfigureBefore,AutoConfigurationPackages,AutoConfiguration,AutoConfigureAfter",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.context.properties",20,26,75,"ConfigurationProperties,EnableConfigurationProperties,NestedConfigurationProperty",""
"axon-spring-boot-autoconfigure-5.0.3","jakarta.annotation",15,30,75,"Nonnull,Nullable",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.config",13,42,75,"SpringEventSourcedEntityLookup,MessageHandlerLookup,EventProcessorSettings,SpringAxonApplication,SpringComponentRegistry,SpringLifecycleRegistry,EventProcessorDefinition,DefaultProcessorModuleFactory,ProcessorModuleFactory,EventProcessorSettings$MapWrapper,EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings$ProcessorMode",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.actuate.health",7,24,75,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"axon-spring-boot-autoconfigure-5.0.3","jakarta.persistence",6,13,75,"EntityManagerFactory,EntityManager,PersistenceContext",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.context.properties.bind",5,11,75,"ConstructorBinding,DefaultValue,BindResult,Bindable,Binder",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.context",5,9,75,"ApplicationContext,ApplicationContextAware",""
"axon-spring-boot-autoconfigure-5.0.3","org.apache.avro.message",4,10,75,"SchemaStore,SchemaStore$Cache",""
"axon-spring-boot-autoconfigure-5.0.3","org.slf4j",4,6,75,"LoggerFactory,Logger",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory",4,19,75,"BeanFactory,BeanFactoryUtils,BeanClassLoaderAware,NoSuchBeanDefinitionException",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.testcontainers.service.connection",4,9,75,"ContainerConnectionSource,ContainerConnectionDetailsFactory,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.conversion.avro",3,8,75,"AvroSchemaPackages,ClasspathAvroSchemaLoader,SpecificRecordBaseClasspathAvroSchemaLoader",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure.service.connection",3,3,75,"ConnectionDetails",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.annotation",3,3,75,"Order",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.type",3,5,75,"AnnotationMetadata,AnnotatedTypeMetadata",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.transaction",3,5,75,"PlatformTransactionManager",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.databind",3,8,75,"ObjectMapper",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.dataformat.cbor",3,9,75,"CBORMapper,CBORMapper$Builder",""
"axon-spring-boot-autoconfigure-5.0.3","com.fasterxml.jackson.databind",2,8,75,"ObjectMapper",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.config.annotation",2,7,75,"HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.messaging.unitofwork",2,4,75,"SpringTransactionManager",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans",2,2,75,"BeansException",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.docker.compose.core",2,5,75,"RunningService,ConnectionPorts",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.docker.compose.service.connection",2,5,75,"DockerComposeConnectionDetailsFactory,DockerComposeConnectionSource",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.env",2,2,75,"Environment",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.databind.json",2,5,75,"JsonMapper,JsonMapper$Builder",""
"axon-spring-boot-autoconfigure-5.0.3","io.axoniq.axonserver.connector",1,1,75,"AxonServerConnection",""
"axon-spring-boot-autoconfigure-5.0.3","io.axoniq.axonserver.connector.control",1,1,75,"ControlChannel",""
"axon-spring-boot-autoconfigure-5.0.3","org.apache.avro",1,2,75,"Schema",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring",1,1,75,"SpringUtils",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.authorization",1,2,75,"SecuredMessageHandlerDefinition",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory.config",1,3,75,"ConfigurableListableBeanFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory.support",1,1,75,"BeanDefinitionRegistry",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.io",1,1,75,"ResourceLoader",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.lang",1,1,75,"Nullable",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.util",1,2,75,"MultiValueMap",""
"axon-test-5.0.3","org.hamcrest",44,196,78,"Matcher,Description,TypeSafeMatcher,BaseMatcher,StringDescription,CoreMatchers",""
"axon-test-5.0.3","jakarta.annotation",35,234,78,"Nonnull,Nullable",""
"axon-test-5.0.3","org.junit.jupiter.api.extension",8,28,78,"ParameterResolutionException,BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Store,ExtensionContext,ExtensionContext$Namespace,ParameterContext",""
"axon-test-5.0.3","com.google.gson",4,7,78,"JsonElement,JsonParser,JsonArray,JsonObject",""
"axon-test-5.0.3","org.jetbrains.annotations",3,4,78,"NotNull",""
"axon-test-5.0.3","org.slf4j",2,3,78,"LoggerFactory,Logger",""
"axon-test-5.0.3","org.testcontainers.containers",2,7,78,"GenericContainer,ContainerLaunchException",""
"axon-test-5.0.3","org.testcontainers.containers.wait.strategy",2,3,78,"HttpWaitStrategy,Wait",""
"axon-test-5.0.3","org.testcontainers.utility",2,9,78,"DockerImageName,MountableFile",""
"axon-test-5.0.3","org.awaitility",1,1,78,"Awaitility",""
"axon-test-5.0.3","org.awaitility.core",1,2,78,"ConditionFactory",""
"axon-test-5.0.3","org.junit.jupiter.api",1,2,78,"Assertions",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.api.trace",9,46,5,"Tracer,SpanKind,Span,SpanBuilder,StatusCode,SpanContext",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.context.propagation",9,15,5,"TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators",""
"axon-tracing-opentelemetry-5.0.3","jakarta.annotation",3,8,5,"Nonnull",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.context",2,7,5,"Context,Scope",""
"axon-tracing-opentelemetry-5.0.3","org.slf4j",2,7,5,"Logger,LoggerFactory",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.api",1,2,5,"GlobalOpenTelemetry",""
"axon-update-5.0.3","jakarta.annotation",14,85,23,"Nonnull,Nullable",""
"axon-update-5.0.3","org.slf4j",14,44,23,"Logger,LoggerFactory",""
