"fullQualifiedTypeName","declaredMethodCount","distinctCalledMethodCount","usageRatio","callerCount","exampleCalledMethods","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.common.configuration.Configuration",16,4,0.25,1,"getComponent,getOptionalComponent",""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",14,4,0.29,1,"advancedTo,unwrap,unwrapUpperBound,unwrapLowerBound",""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,1,0.08,1,"commandName",""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,1,0.08,1,"isFactoryHandler",""
"org.axonframework.messaging.eventhandling.annotation.EventHandlingMember",13,1,0.08,1,"eventName",""
"org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember",13,1,0.08,1,"queryName",""
"org.axonframework.messaging.eventstreaming.EventCriterion",12,2,0.17,1,"types,tags",""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",11,6,0.55,1,"handle,supportedEvents,sequenceIdentifierFor,supportsReset,supports",""
"org.axonframework.messaging.queryhandling.QueryBus",11,3,0.27,1,"completeSubscriptions,emitUpdate,completeSubscriptionsExceptionally",""
"org.axonframework.common.configuration.Configuration",10,3,0.3,1,"getComponent,getOptionalComponent",""
"org.axonframework.common.configuration.DecoratorDefinition$CompletedDecoratorDefinition",10,3,0.3,1,"decorate,matches,order",""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",10,2,0.2,1,"unwrap,unwrapLowerBound",""
"org.axonframework.conversion.avro.AvroConverterStrategy",9,5,0.56,1,"convertToSingleObjectEncoded,convertFromSingleObjectEncoded,applyStrategyConfiguration,convertFromGenericRecord,test",""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",9,3,0.33,1,"splitSegment,mergeSegment,releaseSegment",""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",9,1,0.11,1,"advance",""
"org.axonframework.messaging.queryhandling.QueryBus",9,2,0.22,1,"subscriptionQuery,query",""
"org.axonframework.messaging.queryhandling.QueryBus",9,4,0.44,1,"query,completeSubscriptions,emitUpdate,completeSubscriptionsExceptionally",""
"org.axonframework.common.configuration.Configuration",8,3,0.38,1,"getComponent,getOptionalComponent",""
"org.axonframework.common.configuration.Configuration",7,4,0.57,1,"getOptionalComponent,getModuleConfiguration,getComponents",""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",7,3,0.43,1,"maxCapacity,getTokenStoreIdentifier,processingStatus",""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder",7,2,0.29,1,"entityEvolver,addConcreteType",""
"org.axonframework.common.configuration.Component",6,1,0.17,1,"resolve",""
"org.axonframework.common.configuration.ComponentRegistry",6,3,0.5,1,"registerComponent,registerDecorator",""
"org.axonframework.common.configuration.Configuration",6,3,0.5,1,"getComponent,getOptionalComponent",""
"org.axonframework.eventsourcing.configuration.EventSourcedEntityModule",6,1,0.17,1,"declarative",""
"org.axonframework.messaging.queryhandling.QueryBus",6,1,0.17,1,"subscribeToUpdates",""
"org.axonframework.messaging.queryhandling.QueryBus",6,1,0.17,1,"subscriptionQuery",""
"org.axonframework.common.configuration.ComponentRegistry",5,2,0.4,1,"registerEnhancer,registerComponent",""
"org.axonframework.common.configuration.ComponentRegistry",5,1,0.2,1,"registerComponent",""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",5,1,0.2,1,"supportedEvents",""
"org.axonframework.conversion.Converter",4,1,0.25,1,"convert",""
"org.axonframework.eventsourcing.eventstore.AppendCondition",4,1,0.25,1,"consistencyMarker",""
"org.axonframework.messaging.commandhandling.CommandHandlingComponent",4,1,0.25,1,"supportedCommands",""
"org.axonframework.messaging.core.conversion.MessageConverter",4,1,0.25,1,"convertPayload",""
