"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1313,"WrappedEventCriteriaBuilderMethod",""
"com.fasterxml.jackson.core",1,1,1,1,124,1313,"JsonProcessingException",""
"io.axoniq.axonserver.connector.admin",1,1,1,3,124,1313,"AdminChannel",""
"io.axoniq.axonserver.connector.command",1,1,1,3,124,1313,"CommandChannel",""
"io.axoniq.axonserver.connector.impl",1,1,1,3,124,1313,"ServerAddress",""
"io.axoniq.axonserver.connector.query",1,3,6,19,124,1313,"QueryHandler$UpdateHandler,QueryHandler,QueryDefinition,SubscriptionQueryResult,QueryChannel",""
"io.axoniq.axonserver.grpc.command",1,3,8,64,124,1313,"Command$Builder,CommandResponse,CommandResponse$Builder,Command",""
"io.axoniq.axonserver.grpc.event",1,3,5,31,124,1313,"Event$Builder,Event,EventWithToken,ConfirmationWithConsistencyMarker",""
"io.axoniq.axonserver.grpc.query",1,5,14,98,124,1313,"SubscriptionQuery,QueryResponse,QueryRequest,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate,QueryUpdate$Builder",""
"io.axoniq.framework.messaging.deadletter",1,2,2,2,124,1313,"SequencedDeadLetterQueue",""
"io.axoniq.framework.messaging.eventhandling.deadletter",1,3,4,15,124,1313,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",1,1,3,12,124,1313,"DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder,JdbcSequencedDeadLetterQueue",""
"io.axoniq.framework.messaging.eventhandling.deadletter.jpa",1,1,2,7,124,1313,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue",""
"io.axoniq.framework.postgresql",1,2,2,2,124,1313,"PostgresqlEventStorageEngine,PostgresqlConfigurationEnhancer",""
"io.axoniq.framework.testcontainer",1,2,2,6,124,1313,"AxonServerContainer",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,124,1313,"GrpcSslContexts",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,2,124,1313,"SslContextBuilder",""
"io.grpc.stub",1,1,2,5,124,1313,"ClientResponseObserver,ClientCallStreamObserver",""
"io.opentelemetry.api",1,1,1,2,124,1313,"GlobalOpenTelemetry",""
"io.opentelemetry.api.trace",1,3,9,47,124,1313,"Tracer,SpanBuilder,SpanContext,Span,StatusCode,SpanKind",""
"io.opentelemetry.context",1,2,2,7,124,1313,"Scope,Context",""
"io.opentelemetry.context.propagation",1,4,9,16,124,1313,"TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators",""
"jakarta.validation",1,2,5,16,124,1313,"Validator,ConstraintViolation,ValidatorFactory,Validation",""
"javax.cache",1,1,1,13,124,1313,"Cache",""
"javax.cache.configuration",1,2,3,9,124,1313,"Factory,CacheEntryListenerConfiguration",""
"javax.cache.event",1,1,8,26,124,1313,"CacheEntryExpiredListener,CacheEntryEvent,CacheEntryRemovedListener,CacheEntryUpdatedListener,CacheEntryCreatedListener,CacheEntryListenerException,CacheEntryEventFilter,CacheEntryListener",""
"org.apache.avro",1,4,16,54,124,1313,"SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaCompatibilityResult,SchemaNormalization,InvalidAvroMagicException,AvroRuntimeException,SchemaCompatibility,InvalidNumberEncodingException,SchemaCompatibility$SchemaPairCompatibility,Schema",""
"org.apache.avro.generic",1,6,7,29,124,1313,"GenericData,GenericRecord,GenericDatumReader",""
"org.apache.avro.io",1,1,1,3,124,1313,"DecoderFactory",""
"org.apache.avro.message",1,6,8,28,124,1313,"BadHeaderException,SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder",""
"org.apache.avro.specific",1,2,4,14,124,1313,"SpecificRecordBase,SpecificData",""
"org.apache.commons.lang3.tuple",1,1,1,4,124,1313,"Pair",""
"org.awaitility",1,1,1,1,124,1313,"Awaitility",""
"org.awaitility.core",1,1,1,2,124,1313,"ConditionFactory",""
"org.axonframework.extension.springboot.autoconfig",1,1,1,1,124,1313,"AxonAutoConfiguration",""
"org.axonframework.extension.springboot.util",1,1,1,1,124,1313,"RegisterDefaultEntities",""
"org.ehcache.config",1,1,1,2,124,1313,"CacheRuntimeConfiguration",""
"org.ehcache.core",1,1,1,13,124,1313,"Ehcache",""
"org.ehcache.event",1,3,8,30,124,1313,"CacheEvent,EventType,CacheEventListener,EventFiring,EventOrdering",""
"org.junit.jupiter.api.extension",1,1,8,28,124,1313,"ParameterContext,ParameterResolutionException,ExtensionContext$Namespace,BeforeEachCallback,ParameterResolver,AfterEachCallback,ExtensionContext,ExtensionContext$Store",""
"org.springframework.beans",1,1,1,1,124,1313,"BeansException",""
"org.springframework.boot.autoconfigure.service.connection",1,3,3,3,124,1313,"ConnectionDetails",""
"org.springframework.boot.docker.compose.core",1,1,2,5,124,1313,"RunningService,ConnectionPorts",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,124,1313,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,124,1313,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"org.springframework.context",1,1,2,4,124,1313,"ApplicationContext,ApplicationContextAware",""
"org.springframework.lang",1,1,1,1,124,1313,"Nullable",""
"reactor.core.scheduler",1,1,2,2,124,1313,"Scheduler,Schedulers",""
"reactor.util.concurrent",1,2,2,4,124,1313,"Queues",""
"tools.jackson.core",1,3,3,6,124,1313,"JacksonException",""
"tools.jackson.databind",1,5,8,39,124,1313,"JsonNode,ObjectMapper,JavaType",""
"tools.jackson.databind.json",1,1,2,5,124,1313,"JsonMapper,JsonMapper$Builder",""
"tools.jackson.databind.node",1,2,3,12,124,1313,"ObjectNode,JsonNodeType",""
